Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,464,,,,546691,,4609943,,,2
H5,2017,2017,2017,6,1,1,Import,400,Jordan,JOR,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,1262,,,,576434,,5437939,,,6
H5,2017,2017,2017,6,1,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,1154,,,,878510,,10210187,,,6
H5,2017,2017,2017,6,1,1,Import,414,Kuwait,KWT,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,164,,,,189372,,1816510,,,0
H5,2017,2017,2017,6,1,1,Import,417,Kyrgyzstan,KGZ,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,257,,,,415261,,1330177,,,2
H5,2017,2017,2017,6,1,1,Import,422,Lebanon,LBN,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,429,,,,333063,,4261926,,,2
H5,2017,2017,2017,6,1,1,Import,426,Lesotho,LSO,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,131,,,,325248,,1305543,,,2
H5,2017,2017,2017,6,1,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,2588,,,,1728129,,17481047,,,0
H5,2017,2017,2017,6,1,1,Import,440,Lithuania,LTU,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,2251,,,,1232041,,10437257,,,0
H5,2017,2017,2017,6,1,1,Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,3579,,,,6190672,,54064115,,,0
